"id","created","modified","task_id","scene_id","entity_id","answer","object_description","location_description","use_in_object_tasks"
"11","2012-11-08 18:51:25.507384+0000","2013-02-12 23:44:13.434761+0000","3","4","20","exact center","","","f"
"12","2012-11-08 18:51:25.525089+0000","2013-02-12 23:44:11.003918+0000","3","2","6","left middle","","","f"
"13","2012-11-08 18:51:25.530084+0000","2013-02-12 23:44:11.043770+0000","3","4","18","right end three fourths length","","","f"
"14","2012-11-08 18:51:25.534456+0000","2013-02-12 23:44:11.110446+0000","3","1","5","to the right of center","","","f"
"15","2012-11-08 18:51:25.538845+0000","2013-02-12 23:44:13.474125+0000","3","1","4","center","","","f"
"16","2012-11-08 18:54:45.092195+0000","2013-02-12 23:44:13.484717+0000","4","1","5","in the middle of the table to the right","","","f"
"17","2012-11-08 18:54:45.098616+0000","2013-02-12 23:44:11.162773+0000","4","3","15","at top of the table to the right","","","f"
"18","2012-11-08 18:54:45.103469+0000","2013-02-12 23:44:11.183267+0000","4","5","24","in the middle of the table","","","f"
"19","2012-11-08 18:54:45.108757+0000","2013-02-12 23:44:11.221065+0000","4","2","8","at the middle of the above little to the right side of the table","","","f"
"20","2012-11-08 18:54:45.115353+0000","2013-02-12 23:44:11.246544+0000","4","5","25","at the top of the table, little to the right side","","","f"
"21","2012-11-08 18:54:56.308033+0000","2013-02-12 23:44:11.267758+0000","5","1","4","Near the center of the table, partially blocked from vision by a sphere","","","f"
"22","2012-11-08 18:54:56.315101+0000","2013-02-12 23:45:24.121221+0000","5","5","25","At the far end of the table, Leaning against a blue cube","","","f"
"23","2012-11-08 18:54:56.346380+0000","2013-02-12 23:45:24.127999+0000","5","4","17","Near the edge of the table, closest object to the point of view","","","f"
"24","2012-11-08 18:54:56.351425+0000","2013-02-12 23:44:11.284667+0000","5","3","11","Only object in Quadrant IV of the table","","","f"
"25","2012-11-08 18:54:56.356126+0000","2013-02-12 23:45:24.134997+0000","5","2","7","Far end of the table, closest to the back right corner","","","f"
"26","2012-11-08 18:56:52.065147+0000","2013-02-12 23:44:11.322173+0000","6","3","13","left","","","f"
