2|(object_2 PURPLE BOX,)|near the bottom left corner of the table|near the bottom left corner of the table|
3|(object_2 BLUE CYLINDER,)|between the orange cylinder and green square|between the orange cylinder and green square|
5|(object_2 PURPLE SPHERE,)|slightly above center of the table, adjacent to the small green box| above center of the table, adjacent to the green box|
2|(object_3 PURPLE BOX,)|in the center of the table|in the center of the table|
1|(object_1 BLUE SPHERE,)|next to orange cylinder|next to orange cylinder|
3|(object_4 GREEN BOX,)|in the center of the table, near its far side|in the center of the table, near its far side|
3|(object_5 ORANGE BOX,)|in the front right|in the front right|
2|(object_5 PURPLE BOX,)|slightly to the back and left| to the back and left|
5|(object_4 PURPLE BOX,)|nearest to the front edge of table|nearest to the front edge of table|
1|(object_2 ORANGE CYLINDER,)|in the center of the table|in the center of the table|
2|(object_4 GREEN BOX,)|at the back of the table|at the back of the table|
1|(object_1 BLUE SPHERE,)|on middle of table|on middle of table|
5|(object_2 PURPLE SPHERE,)|right next to the green rectangle|right next to the green rectangle|
1|(object_2 ORANGE CYLINDER,)|in the center of the table|in the center of the table|
4|(object_5 YELLOW BOX,)|on the center of the farther third of the table|on the center of the farther third of the table|
2|(object_2 PURPLE BOX,)|at the left, front corner|at the left, front corner|
2|(object_1 YELLOW BOX,)|behind the purple blocks|behind the purple blocks|
3|(object_4 GREEN BOX,)|closest to the blue cylinder|closest to the blue cylinder|
1|(object_2 ORANGE CYLINDER,)|next to blue sphere|next to blue sphere|
2|(object_2 PURPLE BOX,)|in the south west corner of the table|in the south west corner of the table|
1|(object_5 PURPLE BOX,)|furthest away from the blue sphere|furthest away from the blue sphere|
2|(object_1 YELLOW BOX,)|after all of the purple boxes|after all of the purple boxes|
3|(object_4 GREEN BOX,)|adjacent to the blue cylinder|adjacent to the blue cylinder|
2|(object_3 PURPLE BOX,)|in the center of the table just in front of and to the right of another purple cube|in the center of the table in front of and to the right of another purple cube|
2|(object_4 GREEN BOX,)|in the back of the table|in the back of the table|
4|(object_4 YELLOW BOX,)|closest to my perspective|closest to my perspective|
2|(object_4 GREEN BOX,)|at the back of the table|at the back of the table|
5|(object_3 BLUE BOX,)|at the opposing end of the table, centered, behind all other objects|at the opposing end of the table, centered, behind all other objects|
2|(object_3 PURPLE BOX,)|in the centre of the table|in the centre of the table|
3|(object_3 ORANGE CYLINDER,)|at far left corner of the table|at far left corner of the table|
2|(object_4 GREEN BOX,)|at the top of the table|at the top of the table|
4|(object_1 RED SPHERE,)|to the right of the orange pie|to the right of the orange pie|
3|(object_3 ORANGE CYLINDER,)|close to top left corner of table|close to top left corner of table|
1|(object_4 PINK BOX,)|toward the back|toward the back|
1|(object_1 BLUE SPHERE,)|center, slightly to the right|center, to the right|
3|(object_4 GREEN BOX,)|near the center of the table|near the center of the table|
2|(object_4 GREEN BOX,)|above all other shapes|above all other shapes|
4|(object_5 YELLOW BOX,)|closest to green cube|closest to green cube|
4|(object_5 YELLOW BOX,)|between the orange circular object and the red sphere on the x axis, halfway between the green square and red sphere on the y axis|between the orange circular object and the red sphere on the x axis, halfway between the green square and red sphere on the y axis|
1|(object_1 BLUE SPHERE,)|in front|in front|
4|(object_1 RED SPHERE,)|next to the orange disc|next to the orange disc|
3|(object_5 ORANGE BOX,)|right in front|right in front|
2|(object_2 PURPLE BOX,)|near the left most front corner of the table|near the left most front corner of the table|
2|(object_5 PURPLE BOX,)|towards the back of table approximately two thirds of the length from front edge, along the left edge|towards the back of table approximately two thirds of the length from front edge, along the left edge|
2|(object_1 YELLOW BOX,)|on the left side of table|on the left side of table|
3|(object_4 GREEN BOX,)|directly to the right of the small cylindrical disk| to the right of the cylindrical disk|
3|(object_1 GREEN CYLINDER,)|at the back right of the table|at the back right of the table|
1|(object_1 BLUE SPHERE,)|adjacent to brown cylindrical block|adjacent to brown cylindrical block|
1|(object_2 ORANGE CYLINDER,)|at the center of the table, touching the blue sphere|at the center of the table, the blue sphere|
4|(object_5 YELLOW BOX,)|second from the back|second from the back|
1|(object_5 PURPLE BOX,)|near the farthest edge and towards the rights side of the table|near the farthest edge and towards the rights side of the table|
4|(object_3 GREEN BOX,)|near the top of the table|near the top of the table|
