1|(object_1 BLUE SPHERE,)|situated to the right of a brown cylindrical object in the middle of a black table|situated to the right of a brown cylindrical object in the middle of a black table|
5|(object_2 PURPLE SPHERE,)|ball shape|ball shape|
5|(object_3 BLUE BOX,)|huge|huge|
3|(object_2 BLUE CYLINDER,)|slightly offset from the center of the tabl| offset from the center of the tabl|
1|(object_1 BLUE SPHERE,)|the ball is almost in the middle of the table and it is below the four other objects|the ball in the middle of the table and below the four other objects|
4|(object_2 ORANGE CYLINDER,)|circle|circle|
4|(object_5 YELLOW BOX,)|located below  green color box and above  red color ball| below  green color box and above  red color ball|
1|(object_1 BLUE SPHERE,)|near the center of the table, adjacent to a small brown cylinder|near the center of the table, adjacent to a brown cylinder|
3|(object_4 GREEN BOX,)|in the middle of the table in the background|in the middle of the table in the background|
3|(object_4 GREEN BOX,)|the second closest object to the viewer|the second closest object to the viewer|
5|(object_3 BLUE BOX,)|right hand corner of the table|right hand corner of the table|
4|(object_4 YELLOW BOX,)|at the corner middle  of the table|at the corner middle  of the table|
4|(object_4 YELLOW BOX,)|at the front of the table|at the front of the table|
1|(object_5 PURPLE BOX,)|below object three|below object three|
3|(object_2 BLUE CYLINDER,)|unlikely to be disturbed by an accidental motion|unlikely to be disturbed by an accidental motion|
3|(object_1 GREEN CYLINDER,)|green cylinder|green cylinder|
4|(object_5 YELLOW BOX,)|object|object|
3|(object_4 GREEN BOX,)|positioned in the top upper edge of the table| in the top upper edge of the table|
5|(object_3 BLUE BOX,)|centered towards the rear of the table|centered towards the rear of the table|
1|(object_5 PURPLE BOX,)|placed at the farthest distance away from my end of the table| at the farthest distance away from my end of the table|
4|(object_2 ORANGE CYLINDER,)|centre oe the table|centre oe the table|
3|(object_1 GREEN CYLINDER,)|far away to the right|far away to the right|
5|(object_4 PURPLE BOX,)|close to the bottom right corner of the table, away from all the other objects|close to the bottom right corner of the table, away from all the other objects|
2|(object_1 YELLOW BOX,)|square in shape|square in shape|
1|(object_3 ORANGE BOX,)|in the center row between the two other rows|in the center row between the two other rows|
3|(object_5 ORANGE BOX,)|middle right side of the table|middle right side of the table|
3|(object_1 GREEN CYLINDER,)|nearer to the edge of the table|nearer to the edge of the table|
3|(object_2 BLUE CYLINDER,)|in left of green block|in left of green block|
2|(object_3 PURPLE BOX,)|at middle right side of the table|at middle right side of the table|
2|(object_1 YELLOW BOX,)|it is placed upper left hand corner| upper left hand corner|
4|(object_1 RED SPHERE,)|the red ball|the red ball|
1|(object_3 ORANGE BOX,)|a quarter of the way down the table on the right side|a quarter of the way down the table on the right side|
4|(object_2 ORANGE CYLINDER,)|third in the position from the top and is placed nearly to the circle object|third in the position from the top and to the circle object|
2|(object_3 PURPLE BOX,)|in the middle of the table near the smallest purple cube|in the middle of the table near the smallest purple cube|
2|(object_2 PURPLE BOX,)|left side on the front of table|left side on the front of table|
2|(object_4 GREEN BOX,)|located further away than the yellow and purple cubes| further away than the yellow and purple cubes|
1|(object_1 BLUE SPHERE,)|behind  to  rectangle in brown|behind  to  rectangle in brown|
3|(object_5 ORANGE BOX,)|colored|colored|
5|(object_3 BLUE BOX,)|positioned beside a yellow ball near the top of the table| beside a yellow ball near the top of the table|
4|(object_2 ORANGE CYLINDER,)|to the left side of the table|to the left side of the table|
2|(object_1 YELLOW BOX,)|between two objects|between two objects|
1|(object_4 PINK BOX,)|towards the rear right of the table, somewhat centered|towards the rear right of the table, somewhat centered|
1|(object_1 BLUE SPHERE,)|at the front of the group of object|at the front of the group of object|
4|(object_4 YELLOW BOX,)|located below the red circular shape and near the closest end of the table| below the red circular shape and near the closest end of the table|
5|(object_5 GREEN BOX,)|placed beside the violet color ball| beside the violet color ball|
1|(object_4 PINK BOX,)|at the top of the table|at the top of the table|
1|(object_2 ORANGE CYLINDER,)|right next to a blue ball in the middle of the table|right next to a blue ball in the middle of the table|
1|(object_3 ORANGE BOX,)|longest unit on the table|longest unit on the table|
1|(object_1 BLUE SPHERE,)|in front of all the other objects when you face the table|in front of all the other objects when you face the table|
1|(object_1 BLUE SPHERE,)|located slightly right of the center of the table| right of the center of the table|
5|(object_3 BLUE BOX,)|the furthest object on the table|the furthest object on the table|
3|(object_4 GREEN BOX,)|just in ront and to the right of the smal blue cylinder| in ront and to the right of the smal blue cylinder|
1|(object_4 PINK BOX,)|is before the purple box| before the purple box|
3|(object_1 GREEN CYLINDER,)|smaller than other cubes|smaller than other cubes|
1|(object_1 BLUE SPHERE,)|touching besides to the round object| besides to the round object|
5|(object_5 GREEN BOX,)|toward the back half of the table and near the small,purple sphere|toward the back half of the table and near the ,purple sphere|
5|(object_1 YELLOW SPHERE,)|a yellow color|a yellow color|
3|(object_3 ORANGE CYLINDER,)|which is in the end|which in the end|
4|(object_4 YELLOW BOX,)|front and center on the table, before the other objects|front and center on the table, before the other objects|
5|(object_2 PURPLE SPHERE,)|in the center of the table. it is labeled as object two|in the center of the table. labeled as object two|
3|(object_3 ORANGE CYLINDER,)|at left upper corner on the table|at left upper corner on the table|
4|(object_3 GREEN BOX,)|right end three fourths length|right end three fourths length|
2|(object_1 YELLOW BOX,)|farthest object on right|farthest object on right|
5|(object_5 GREEN BOX,)|center of the table|center of the table|
5|(object_2 PURPLE SPHERE,)|square, which is bigger than object two|square, which bigger than object two|
4|(object_1 RED SPHERE,)|circle|circle|
1|(object_5 PURPLE BOX,)|common|common|
1|(object_1 BLUE SPHERE,)|round|round|
4|(object_2 ORANGE CYLINDER,)|nearer to small yellow rectangular shape|nearer to yellow rectangular shape|
4|(object_1 RED SPHERE,)|to the right of orange cylinder|to the right of orange cylinder|
2|(object_3 PURPLE BOX,)|is the object closest to the center of the table| the object closest to the center of the table|
5|(object_4 PURPLE BOX,)|near the camera|near the camera|
5|(object_5 GREEN BOX,)|positioned right below a blue number three cube object| right below a blue number three cube object|
2|(object_3 PURPLE BOX,)|located at the apex of a triangle formed by another smaller  rectangular prism and a small cube| at the apex of a triangle formed by another smaller  rectangular prism and a cube|
5|(object_5 GREEN BOX,)|on the nearest part of the table|on the nearest part of the table|
2|(object_5 PURPLE BOX,)|in the middle to the left of the other objects|in the middle to the left of the other objects|
5|(object_5 GREEN BOX,)|near the cyan ballobject|near the cyan ballobject|
1|(object_3 ORANGE BOX,)|standing upward near the back right corner of the desk| upward near the back right corner of the desk|
5|(object_4 PURPLE BOX,)|at the front of the table, to your right|at the front of the table, to your right|
2|(object_3 PURPLE BOX,)|slightly off-center to the right and back. it is not near the edge of the table or other objects. a smaller purple rectangular prism is in front of it and all the others are behind it| off-center to the right and back. not near the edge of the table or other objects. a smaller purple rectangular prism in front of and all the others are behind |
2|(object_4 GREEN BOX,)|near the back, closest to the back left corner|near the back, closest to the back left corner|
5|(object_2 PURPLE SPHERE,)|in the second row near the object in green color|in the second row near the object in green color|
1|(object_1 BLUE SPHERE,)|beside round brown object|beside round brown object|
1|(object_4 PINK BOX,)|at the upper middle part of the table|at the upper middle part of the table|
1|(object_2 ORANGE CYLINDER,)|flat| |
5|(object_5 GREEN BOX,)|object three which having same color like object two|object three which having same color like object two|
1|(object_3 ORANGE BOX,)|three objects away from my end of the table|three objects away from my end of the table|
2|(object_3 PURPLE BOX,)|a little bit off center on the table, more towards the back and the right|a bit off center on the table, more towards the back and the right|
1|(object_1 BLUE SPHERE,)|right to object two which is at the middle of the table|right to object two which at the middle of the table|
4|(object_3 GREEN BOX,)|kept above all objects in the table|kept above all objects in the table|
4|(object_4 YELLOW BOX,)|middle front of the table|middle front of the table|
4|(object_5 YELLOW BOX,)|in between a green block and a cluster of objects that includes a sphere, a circular object, and another block|in between a green block and a cluster of objects that includes a sphere, a circular object, and another block|
1|(object_1 BLUE SPHERE,)|in the middle of the table to the right|in the middle of the table to the right|
5|(object_4 PURPLE BOX,)|in right most corner|in right most corner|
4|(object_1 RED SPHERE,)|in the center of the table|in the center of the table|
4|(object_1 RED SPHERE,)|the nearest object, and at a slight angle to the rest of the objects|the nearest object, and at a slight angle to the rest of the objects|
3|(object_3 ORANGE CYLINDER,)|none|none|
4|(object_4 YELLOW BOX,)|toward the front of the table|toward the front of the table|
2|(object_4 GREEN BOX,)|the object is on the back side of the table, closer to the back right corner|the object on the back side of the table, closer to the back right corner|
1|(object_3 ORANGE BOX,)|extreme  corner of table|extreme  corner of table|
2|(object_1 YELLOW BOX,)|closest to the smallest purple cube and about two cube widths from the edge of the table|closest to the smallest purple cube and two cube widths from the edge of the table|
5|(object_4 PURPLE BOX,)|the biggest unit|the biggest unit|
5|(object_5 GREEN BOX,)|at the side of table|at the side of table|
5|(object_2 PURPLE SPHERE,)|bloue colour is table corner, other colours in right sie , left side and middle is there|bloue colour table corner, other colours in right sie , left side and middle there|
4|(object_5 YELLOW BOX,)|middle of the table|middle of the table|
1|(object_1 BLUE SPHERE,)|object|object|
5|(object_1 YELLOW SPHERE,)|one|one|
