,
near the center of the table , 'RelationLandmarkPhrase\n  Relation "near"\n  ExtrinsicReferringExpression\n    Article "the"\n    RelationNounPhrase\n      NounPhrase\n        Noun "center"\n      RelationLandmarkPhrase\n        PartOfRelation\n          BelongingTag "of"\n        ReferringExpression\n          Article "the"\n          NounPhrase\n            Noun "table"\n'
in the middle of the table , 'RelationLandmarkPhrase\n  OnRelation "in"\n  ExtrinsicReferringExpression\n    Article "the"\n    RelationNounPhrase\n      NounPhrase\n        Noun "middle"\n      RelationLandmarkPhrase\n        PartOfRelation\n          BelongingTag "of"\n        ReferringExpression\n          Article "the"\n          NounPhrase\n            Noun "table"\n'
at the top of the table , 'RelationLandmarkPhrase\n  Relation "at"\n  ExtrinsicReferringExpression\n    Article "the"\n    RelationNounPhrase\n      NounPhrase\n        Noun "top"\n      RelationLandmarkPhrase\n        PartOfRelation\n          BelongingTag "of"\n        ReferringExpression\n          Article "the"\n          NounPhrase\n            Noun "table"\n'
on middle of table , 'RelationLandmarkPhrase\n  OnRelation "on"\n  ExtrinsicReferringExpression2\n    RelationNounPhrase\n      NounPhrase\n        Noun "middle"\n      RelationLandmarkPhrase\n        PartOfRelation\n          BelongingTag "of"\n        ReferringExpression2\n          NounPhrase\n            Noun "table"\n'
in the center of the table , 'RelationLandmarkPhrase\n  OnRelation "in"\n  ExtrinsicReferringExpression\n    Article "the"\n    RelationNounPhrase\n      NounPhrase\n        Noun "center"\n      RelationLandmarkPhrase\n        PartOfRelation\n          BelongingTag "of"\n        ReferringExpression\n          Article "the"\n          NounPhrase\n            Noun "table"\n'
at the end of the table , 'RelationLandmarkPhrase\n  Relation "at"\n  ExtrinsicReferringExpression\n    Article "the"\n    RelationNounPhrase\n      NounPhrase\n        Noun "end"\n      RelationLandmarkPhrase\n        PartOfRelation\n          BelongingTag "of"\n        ReferringExpression\n          Article "the"\n          NounPhrase\n            Noun "table"\n'
next to the blue square , 'RelationLandmarkPhrase\n  Relation "next to"\n  ReferringExpression\n    Article "the"\n    AdjectiveNounPhrase\n      AdjectivePhrase\n        Adjective "blue"\n      Noun "square"\n'
on the table , 'RelationLandmarkPhrase\n  OnRelation "on"\n  ReferringExpression\n    Article "the"\n    NounPhrase\n      Noun "table"\n'
at the top of the table , 'RelationLandmarkPhrase\n  Relation "at"\n  ExtrinsicReferringExpression\n    Article "the"\n    RelationNounPhrase\n      NounPhrase\n        Noun "top"\n      RelationLandmarkPhrase\n        PartOfRelation\n          BelongingTag "of"\n        ReferringExpression\n          Article "the"\n          NounPhrase\n            Noun "table"\n'
to the left of a purple ball , 'RelationLandmarkPhrase\n  OrientationRelation\n    DestinationTag "to"\n    Article "the"\n    Direction "left"\n    BelongingTag "of"\n  ReferringExpression\n    Article "a"\n    AdjectiveNounPhrase\n      AdjectivePhrase\n        Adjective "purple"\n      Noun "ball"\n'
in the center of the table , 'RelationLandmarkPhrase\n  OnRelation "in"\n  ExtrinsicReferringExpression\n    Article "the"\n    RelationNounPhrase\n      NounPhrase\n        Noun "center"\n      RelationLandmarkPhrase\n        PartOfRelation\n          BelongingTag "of"\n        ReferringExpression\n          Article "the"\n          NounPhrase\n            Noun "table"\n'
