a purple sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""sphere""\n'"
a purple block ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""block""\n'"
a purple cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""cube""\n'"
a cuboid ," 'ReferringExpression\n  Article ""a""\n  NounPhrase\n    Noun ""cuboid""\n'"
a green rectangular prism ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""green""\n      Adjective ""rectangular""\n    Noun ""prism""\n'"
a green cylinder ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""cylinder""\n'"
the green rectangle ," 'ReferringExpression\n  Article ""the""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""rectangle""\n'"
a purple square ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""square""\n'"
a sphere ," 'ReferringExpression\n  Article ""a""\n  NounPhrase\n    Noun ""sphere""\n'"
a yellow rectangle ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""rectangle""\n'"
a purple box ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""box""\n'"
a box ," 'ReferringExpression\n  Article ""a""\n  NounPhrase\n    Noun ""box""\n'"
a yellow block ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""block""\n'"
a cylinder ," 'ReferringExpression\n  Article ""a""\n  NounPhrase\n    Noun ""cylinder""\n'"
a square shaped object ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""square""\n      Adjective ""shaped""\n    Noun ""object""\n'"
a yellow block ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""block""\n'"
an orange box ," 'ReferringExpression\n  Article ""an""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""orange""\n    Noun ""box""\n'"
a purple cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""cube""\n'"
a purple circle ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""circle""\n'"
a yellow rectangle ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""rectangle""\n'"
a yellow ball ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""ball""\n'"
a purple rectangular prism ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""purple""\n      Adjective ""rectangular""\n    Noun ""prism""\n'"
a rectangular cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""rectangular""\n    Noun ""cube""\n'"
a blue square ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""square""\n'"
a yellow ball ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""ball""\n'"
a green round block ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""green""\n      Adjective ""round""\n    Noun ""block""\n'"
a orange cylinder ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""orange""\n    Noun ""cylinder""\n'"
a purple cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""cube""\n'"
a green box ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""box""\n'"
a rectangular cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""rectangular""\n    Noun ""cube""\n'"
a purple block ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""block""\n'"
a cylinder ," 'ReferringExpression\n  Article ""a""\n  NounPhrase\n    Noun ""cylinder""\n'"
the green square ," 'ReferringExpression\n  Article ""the""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""square""\n'"
a blue ball ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""ball""\n'"
a purple cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""cube""\n'"
the yellow square box ," 'ReferringExpression\n  Article ""the""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""yellow""\n      Adjective ""square""\n    Noun ""box""\n'"
a green cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""cube""\n'"
a purple cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""cube""\n'"
a yellow block ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""block""\n'"
a green cylinder ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""cylinder""\n'"
a blue sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""sphere""\n'"
a green cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""cube""\n'"
a blue ball ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""ball""\n'"
a green colored cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""green""\n      Adjective ""colored""\n    Noun ""cube""\n'"
a blue prism ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""prism""\n'"
a green cylinder ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""cylinder""\n'"
a orange cylinder ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""orange""\n    Noun ""cylinder""\n'"
a blue cylinder ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""cylinder""\n'"
a purple cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""cube""\n'"
a purple rectangular prism ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""purple""\n      Adjective ""rectangular""\n    Noun ""prism""\n'"
a box ," 'ReferringExpression\n  Article ""a""\n  NounPhrase\n    Noun ""box""\n'"
a orange rectangular prism ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""orange""\n      Adjective ""rectangular""\n    Noun ""prism""\n'"
the purple square ," 'ReferringExpression\n  Article ""the""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""square""\n'"
a blue sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""sphere""\n'"
a purple square ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""square""\n'"
an orange cylinder ," 'ReferringExpression\n  Article ""an""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""orange""\n    Noun ""cylinder""\n'"
a purple sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""sphere""\n'"
a green rectangle ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""rectangle""\n'"
a yellow square ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""square""\n'"
a green cylinder ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""cylinder""\n'"
a blue sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""sphere""\n'"
a blue sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""sphere""\n'"
a green colored cuboid ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""green""\n      Adjective ""colored""\n    Noun ""cuboid""\n'"
a  yellow cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""cube""\n'"
a rectangular shape ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""rectangular""\n    Noun ""shape""\n'"
a orange cylinder ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""orange""\n    Noun ""cylinder""\n'"
the orange cylinder on the table ," 'ExtrinsicReferringExpression\n  Article ""the""\n  RelationNounPhrase\n    AdjectiveNounPhrase\n      AdjectivePhrase\n        Adjective ""orange""\n      Noun ""cylinder""\n    RelationLandmarkPhrase\n      OnRelation ""on""\n      ReferringExpression\n        Article ""the""\n        NounPhrase\n          Noun ""table""\n'"
a yellow ball ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""ball""\n'"
the yellow box ," 'ReferringExpression\n  Article ""the""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""box""\n'"
the blue rectangle ," 'ReferringExpression\n  Article ""the""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""rectangle""\n'"
a orange colored cuboid ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""orange""\n      Adjective ""colored""\n    Noun ""cuboid""\n'"
a purple rectangular prism ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""purple""\n      Adjective ""rectangular""\n    Noun ""prism""\n'"
a blue square ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""square""\n'"
a red sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""red""\n    Noun ""sphere""\n'"
a purple cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""cube""\n'"
a green cylinder ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""cylinder""\n'"
a blue cylinder ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""cylinder""\n'"
a rectangular box ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""rectangular""\n    Noun ""box""\n'"
a green block ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""block""\n'"
an orange shape ," 'ReferringExpression\n  Article ""an""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""orange""\n    Noun ""shape""\n'"
a red sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""red""\n    Noun ""sphere""\n'"
a yellow ball ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""ball""\n'"
a yellow block ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""block""\n'"
a yellow sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""sphere""\n'"
a red sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""red""\n    Noun ""sphere""\n'"
a yellow sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""sphere""\n'"
a yellow sphere ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""sphere""\n'"
a purple rectangle ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""rectangle""\n'"
a yellow rectangle ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""rectangle""\n'"
an orange circle ," 'ReferringExpression\n  Article ""an""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""orange""\n    Noun ""circle""\n'"
a green rectangular cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""green""\n      Adjective ""rectangular""\n    Noun ""cube""\n'"
a purple square ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""square""\n'"
a blue cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""blue""\n    Noun ""cube""\n'"
a green block ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""block""\n'"
a purple cube ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""cube""\n'"
an orange rectangular prism ," 'ReferringExpression\n  Article ""an""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""orange""\n      Adjective ""rectangular""\n    Noun ""prism""\n'"
a green square ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""green""\n    Noun ""square""\n'"
a purple ball ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""purple""\n    Noun ""ball""\n'"
a yellow ball ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective ""yellow""\n    Noun ""ball""\n'"
a blue rectangular prism ," 'ReferringExpression\n  Article ""a""\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective ""blue""\n      Adjective ""rectangular""\n    Noun ""prism""\n'"
